a,ə
de,də
dead,dɛd
deadline,ˈdɛˌdlaɪn
deadly,ˈdɛdli
deaf,dɛf
deal,dil
dealer,ˈdilər
dealers,ˈdilərz
dealing,ˈdilɪŋ
deals,dilz
dealt,dɛlt
dealtime,dealtime*
dean,din
dear,dɪr
death,dɛθ
deaths,dɛθs
debate,dəˈbeɪt
debian,debian*
deborah,ˈdɛbərə
debt,dɛt
debug,diˈbəg
debut,ˈdeɪbju
dec,dɛk
decade,ˈdɛkeɪd
decades,ˈdɛkeɪdz
december,dɪˈsɛmbər
decent,ˈdisənt
decide,ˌdɪˈsaɪd
decided,ˌdɪˈsaɪdɪd
decimal,ˈdɛsəməl
decision,dɪˈsɪʒən
decisions,dɪˈsɪʒənz
deck,dɛk
declaration,ˌdɛklərˈeɪʃən
declare,dɪˈklɛr
declared,dɪˈklɛrd
decline,dɪˈklaɪn
declined,dɪˈklaɪnd
decor,ˈdeɪkɔr
decorating,ˈdɛkərˌeɪtɪŋ
decorative,ˈdɛkrətɪv
decrease,ˈdiˌkris
decreased,ˈdiˌkrist
dedicated,ˈdɛdəkeɪtəd
dee,di
deemed,dimd
deep,dip
deeper,ˈdipər
deeply,ˈdipli
deer,dɪr
def,def*
default,dɪˈfɔlt
defeat,dɪˈfit
defects,ˈdifɛkts
defence,dɪˈfɛns
defend,dɪˈfɛnd
defendant,dɪˈfɛndənt
defense,dɪˈfɛns
defensive,dɪˈfɛnsɪv
deferred,dɪˈfərd
deficit,ˈdɛfəsət
define,dɪˈfaɪn
defined,dɪˈfaɪnd
defines,dɪˈfaɪnz
defining,dɪˈfaɪnɪŋ
definitely,ˈdɛfənətli
definition,ˌdɛfəˈnɪʃən
definitions,ˌdɛfəˈnɪʃənz
degree,dɪˈgri
degrees,dɪˈgriz
del,dɛl
delaware,ˈdɛləˌwɛr
delay,dɪˈleɪ
delayed,dɪˈleɪd
delays,dɪˈleɪz
delegation,ˌdɛləˈgeɪʃən
delete,dɪˈlit
deleted,dɪˈlitəd
delhi,ˈdɛli
delicious,dɪˈlɪʃəs
delight,dɪˈlaɪt
deliver,dɪˈlɪvər
delivered,dɪˈlɪvərd
delivering,dɪˈlɪvərɪŋ
delivers,dɪˈlɪvərz
delivery,dɪˈlɪvəri
dell,dɛl
delta,ˈdɛltə
deluxe,dəˈləks
dem,dem*
demand,dɪˈmænd
demanding,dɪˈmændɪŋ
demands,dɪˈmændz
demo,ˈdɛmoʊ
democracy,dɪˈmɑkrəsi
democrat,ˈdɛməˌkræt
democratic,ˌdɛməˈkrætɪk
democrats,ˈdɛməˌkræts
demographic,ˌdɛməˈgræfɪk
demonstrate,ˈdɛmənˌstreɪt
demonstrated,ˈdɛmənˌstreɪtɪd
demonstrates,ˈdɛmənˌstreɪts
demonstration,ˌdɛmənˈstreɪʃən
den,dɛn
denial,dɪˈnaɪəl
denied,dɪˈnaɪd
denmark,ˈdɛnˌmɑrk
dennis,ˈdɛnɪs
dense,dɛns
density,ˈdɛnsɪti
dental,ˈdɛntəl
dentists,ˈdɛntɪsts
denver,ˈdɛnvər
deny,dɪˈnaɪ
department,dɪˈpɑrtmənt
departmental,dɪˌpɑrtˈmɛnəl
departments,dɪˈpɑrtmənts
departure,dɪˈpɑrʧər
depend,dɪˈpɛnd
dependence,dɪˈpɛndəns
dependent,dɪˈpɛndənt
depending,dɪˈpɛndɪŋ
depends,dɪˈpɛndz
deployment,dɪˈplɔɪmənt
deposit,dɪˈpɑzət
deposits,dɪˈpɑzəts
depot,ˈdipoʊ
depression,dɪˈprɛʃən
dept,dept*
depth,dɛpθ
deputy,ˈdɛpjəti
der,dər
derby,ˈdərbi
derek,ˈdɛrɪk
derived,dəraɪvd
des,dɪ
descending,dɪˈsɛndɪŋ
describe,dɪˈskraɪb
described,dɪˈskraɪbd
describes,dɪˈskraɪbz
describing,dɪˈskraɪbɪŋ
description,dɪˈskrɪpʃən
descriptions,dɪˈskrɪpʃənz
desert,ˈdɛzərt
deserve,dɪˈzərv
design,dɪˈzaɪn
designated,ˈdɛzɪgˌneɪtɪd
designation,ˌdɛzɪgˈneɪʃən
designed,dɪˈzaɪnd
designer,dɪˈzaɪnər
designers,dɪˈzaɪnərz
designing,dɪˈzaɪnɪŋ
designs,dɪˈzaɪnz
desirable,dɪˈzaɪərəbəl
desire,dɪˈzaɪər
desired,dɪˈzaɪərd
desk,dɛsk
desktop,ˈdɛskˌtɑp
desktops,ˈdɛskˌtɑps
desperate,ˈdɛspərɪt
despite,dɪˈspaɪt
destination,ˌdɛstɪˈneɪʃən
destinations,ˌdɛstəˈneɪʃənz
destiny,ˈdɛstəni
destroy,dɪˈstrɔɪ
destroyed,dɪˈstrɔɪd
destruction,dɪˈstrəkʃən
detail,ˈditeɪl
detailed,dɪˈteɪld
details,ˈditeɪlz
detect,dɪˈtɛkt
detected,dɪˈtɛktɪd
detection,dɪˈtɛkʃən
detective,dɪˈtɛktɪv
detector,dɪˈtɛktər
determination,dɪˌtərməˈneɪʃən
determine,dɪˈtərmən
determined,dɪˈtərmənd
determines,dɪˈtərmənz
determining,dɪˈtərmənɪŋ
detroit,ˈdiˌtrɔɪt
deutsch,dɔɪʧ
deutsche,dɔɪʧ
deutschland,ˈdɔɪʧlænd
dev,dɛv
devel,devel*
develop,dɪˈvɛləp
developed,dɪˈvɛləpt
developer,dɪˈvɛləpər
developers,dɪˈvɛləpərz
developing,dɪˈvɛləpɪŋ
development,dɪˈvɛləpmənt
developmental,dɪˌvɛləpˈmɛnəl
developments,dɪˈvɛləpmənts
develops,dɪˈvɛləps
deviant,ˈdiviənt
deviation,ˌdiviˈeɪʃən
device,dɪˈvaɪs
devices,dɪˈvaɪsɪz
devil,ˈdɛvəl
devon,ˈdɛvən
devoted,dɪˈvoʊtɪd
df,df*
dg,dg*
dh,dh*
di,di
diabetes,ˌdaɪəˈbitiz
diagnosis,ˌdaɪəgˈnoʊsəs
diagnostic,ˌdaɪəgˈnɑstɪk
diagram,ˈdaɪəˌgræm
dial,daɪəl
dialog,ˈdaɪəlɔg
dialogue,ˈdaɪəˌlɔg
diameter,daɪˈæmətər
diamond,ˈdaɪmənd
diamonds,ˈdaɪməndz
diana,daɪˈænə
diane,daɪæn
diary,ˈdaɪəri
dice,daɪs
dick,dɪk
dicke,dɪk
dicks,dɪks
dictionaries,ˈdɪkʃəˌnɛriz
dictionary,ˈdɪkʃəˌnɛri
did,dɪd
die,daɪ
died,daɪd
diego,diˈeɪgoʊ
dies,daɪz
diesel,ˈdizəl
diet,daɪət
dietary,ˈdaɪəˌtɛri
diff,dɪf
differ,ˈdɪfər
difference,ˈdɪfərəns
differences,ˈdɪfərənsɪz
different,ˈdɪfərənt
differential,ˌdɪfərˈɛnʃəl
differently,ˈdɪfərˈɛntli
difficult,ˈdɪfəkəlt
difficulties,ˈdɪfɪˌkəltiz
difficulty,ˈdɪfɪˌkəlti
diffs,diffs*
dig,dɪg
digest,ˈdaɪʤɛst
digit,ˈdɪʤɪt
digital,ˈdɪʤɪtəl
dildo,ˈdɪlˌdoʊ
dildos,ˈdɪlˌdoʊz
dim,dɪm
dimension,dɪˈmɛnʃən
dimensional,dɪˈmɛnʃənəl
dimensions,dɪˈmɛnʃənz
dining,ˈdaɪnɪŋ
dinner,ˈdɪnər
dip,dɪp
diploma,dɪˈploʊmɑ
dir,dir*
direct,dɪˈrɛkt
directed,dɪˈrɛktɪd
direction,dɪˈrɛkʃɪn
directions,dɪˈrɛkʃɪnz
directive,dɪˈrɛktɪv
directly,dɪˈrɛkli
director,dɪˈrɛktər
directories,dɪˈrɛktəriz
directors,dɪˈrɛktərz
directory,dɪˈrɛktəri
dirt,dərt
dirty,ˈdərti
dis,dɪs
disabilities,dɪsəˈbɪlɪtiz
disability,ˌdɪsəˈbɪlɪti
disable,dɪˈseɪbəl
disabled,dɪˈseɪbəld
disagree,dɪsəˈgri
disappointed,ˌdɪsəˈpɔɪnɪd
disaster,dɪˈzæstər
disc,dɪsk
discharge,ˈdɪsˌʧɑrʤ
disciplinary,ˈdɪsəpləˌnɛri
discipline,ˈdɪsəplən
disciplines,ˈdɪsəplənz
disclaimer,dɪˈskleɪmər
disclaimers,dɪˈskleɪmərz
disclose,dɪˈskloʊz
disclosure,dɪˈskloʊʒər
disco,ˈdɪskoʊ
discount,ˈdɪskaʊnt
discounted,ˈdɪˌskaʊnɪd
discounts,ˈdɪˌskaʊnts
discover,dɪˈskəvər
discovered,dɪˈskəvərd
discovery,ˌdɪˈskəvri
discrete,dɪˈskrit
discretion,dɪˈskrɛʃən
discrimination,dɪˌskrɪməˈneɪʃən
discs,dɪsks
discuss,dɪˈskəs
discussed,dɪˈskəst
discusses,dɪˈskəsɪz
discussing,dɪˈskəsɪŋ
discussion,dɪˈskəʃən
discussions,dɪˈskəʃənz
disease,dɪˈziz
diseases,dɪˈzizɪz
dish,dɪʃ
dishes,ˈdɪʃɪz
disk,dɪsk
disks,dɪsks
disney,ˈdɪzni
disorder,dɪˈsɔrdər
disorders,dɪˈsɔrdərz
dispatch,dɪˈspæʧ
dispatched,dɪˈspæʧt
display,dɪˈspleɪ
displayed,dɪˈspleɪd
displaying,dɪˈspleɪɪŋ
displays,dɪˈspleɪz
disposal,dɪˈspoʊzəl
disposition,ˌdɪspəˈzɪʃən
dispute,dɪˈspjut
disputes,dɪˈspjuts
dist,dist*
distance,ˈdɪstəns
distances,ˈdɪstənsɪz
distant,ˈdɪstənt
distinct,dɪˈstɪŋkt
distinction,dɪˈstɪŋkʃən
distinguished,dɪˈstɪŋgwɪʃt
distribute,dɪˈstrɪbjut
distributed,dɪˈstrɪbjətəd
distribution,ˌdɪstrəˈbjuʃən
distributions,ˌdɪstrəˈbjuʃənz
distributor,dɪˈstrɪbjətər
distributors,dɪˈstrɪbjətərz
district,ˈdɪstrɪkt
districts,ˈdɪstrɪkts
disturbed,dɪˈstərbd
div,div*
dive,daɪv
diverse,dɪˈvərs
diversity,dɪˈvərsɪti
divide,dɪˈvaɪd
divided,dɪˈvaɪdɪd
dividend,ˈdɪvɪˌdɛnd
divine,dɪˈvaɪn
diving,ˈdaɪvɪŋ
division,dɪˈvɪʒən
divisions,dɪˈvɪʒənz
divorce,dɪˈvɔrs
divx,divx*
diy,diy*
dj,dj*
dk,ˈdiˈkeɪ
dl,dl*
dm,dm*
dna,ˈdiˌɛˈneɪ
dns,dns*
do,du
doc,dɑk
dock,dɑk
docs,dɑks
doctor,ˈdɔktər
doctors,ˈdɑktərz
doctrine,ˈdɔktərɪn
document,ˈdɑkjəmɛnt
documentary,ˌdɑkjəˈmɛnəri
documentation,ˌdɑkjəmɛnˈteɪʃən
documentcreatetextnode,documentcreatetextnode*
documented,ˈdɑkjəˌmɛnəd
documents,ˈdɑkjəmənts
dod,dod*
dodge,dɑʤ
doe,doʊ
does,dɪz
dog,dɔg
dogs,dɔgz
doing,duɪŋ
doll,dɑl
dollar,ˈdɔlər
dollars,ˈdɔlərz
dolls,dɑlz
dom,dɑm
domain,doʊˈmeɪn
domains,doʊˈmeɪnz
dome,doʊm
domestic,dəˈmɛstɪk
dominant,ˈdɑmənənt
dominican,dəˈmɪnəkən
don,dɑn
donald,ˈdɑnəld
donate,ˈdoʊˌneɪt
donated,ˈdoʊˌneɪtɪd
donation,doʊˈneɪʃən
donations,doʊˈneɪʃənz
done,dən
donna,ˈdɑnə
donor,ˈdoʊnər
donors,ˈdoʊnərz
dont,dont*
doom,dum
door,dɔr
doors,dɔrz
dos,dɔs
dosage,ˈdoʊsɪʤ
dose,doʊs
dot,dɑt
double,ˈdəbəl
doubt,daʊt
doug,dəg
douglas,ˈdəgləs
dover,ˈdoʊvər
dow,daʊ
down,daʊn
download,ˈdaʊnˌloʊd
downloadable,downloadable*
downloadcom,downloadcom*
downloaded,ˈdaʊnˌloʊdɪd
downloading,ˈdaʊnˌloʊdɪŋ
downloads,ˈdaʊnˌloʊdz
downtown,ˈdaʊnˈtaʊn
dozen,ˈdəzən
dozens,ˈdəzənz
dp,dp*
dpi,dpi*
dr,ˈdɑktər
draft,dræft
drag,dræg
dragon,ˈdrægən
drain,dreɪn
drainage,ˈdreɪnɪʤ
drama,ˈdrɑmə
dramatic,drəˈmætɪk
dramatically,drəˈmætɪkəli
draw,drɔ
drawing,drɔɪŋ
drawings,drɔɪŋz
drawn,drɔn
draws,drɔz
dream,drim
dreams,drimz
dress,drɛs
dressed,drɛst
dresses,ˈdrɛsɪz
dressing,ˈdrɛsɪŋ
drew,dru
dried,draɪd
drill,drɪl
drilling,ˈdrɪlɪŋ
drink,drɪŋk
drinking,ˈdrɪŋkɪŋ
drinks,drɪŋks
drive,draɪv
driven,ˈdrɪvən
driver,ˈdraɪvər
drivers,ˈdraɪvərz
drives,draɪvz
driving,ˈdraɪvɪŋ
drop,drɔp
dropped,drɑpt
drops,drɑps
drove,droʊv
drug,drəg
drugs,drəgz
drum,drəm
drums,drəmz
drunk,drəŋk
dry,draɪ
dryer,draɪər
ds,ds*
dsc,dsc*
dsl,dsl*
dt,dt*
dts,dts*
du,də
dual,duəl
dubai,duˈbaɪ
dublin,ˈdəblɪn
duck,dək
dude,dud
due,du
dui,ˈdiˈjuˈaɪ
duke,duk
dumb,dəm
dump,dəmp
duncan,ˈdəŋkən
duo,ˈduoʊ
duplicate,ˈdupləˌkeɪt
durable,ˈdʊrəbəl
duration,ˈdʊˈreɪʃən
durham,ˈdʊˈrhæm
during,ˈdʊrɪŋ
dust,dəst
dutch,dəʧ
duties,ˈdutiz
duty,ˈduti
dv,dv*
dvd,ˌdiˌviˈdi
dvds,ˌdiˌviˈdiz
dx,dx*
dying,daɪɪŋ
dylan,ˈdɪlən
dynamic,daɪˈnæmɪk
dynamics,daɪˈnæmɪks
e,i
ea,ea*
each,iʧ
eagle,ˈigəl
eagles,ˈigəlz
ear,ɪr
earl,ərl
earlier,ˈərliər
earliest,ˈərliəst
early,ˈərli
earn,ərn
earned,ərnd
earning,ˈərnɪŋ
earnings,ˈərnɪŋz
earrings,ˈɪrɪŋz
ears,ɪrz
earth,ərθ
earthquake,ˈərθkˌweɪk
ease,iz
easier,ˈiziər
easily,ˈizəli
east,ist
easter,ˈistər
eastern,ˈistərn
easy,ˈizi
eat,it
eating,ˈitɪŋ
eau,oʊ
ebay,ˈiˌbeɪ
ebony,ˈɛbəni
ebook,ebook*
ebooks,ebooks*
ec,ec*
echo,ˈɛkoʊ
eclipse,ɪˈklɪps
eco,ˈɛkoʊ
ecological,ɛkəˈlɑʤɪkəl
ecology,ɪˈkɑləʤi
ecommerce,ecommerce*
economic,ˌɛkəˈnɑmɪk
economics,ˌɛkəˈnɑmɪks
economies,ɪˈkɑnəmiz
economy,ɪˈkɑnəmi
ecuador,ˈɛkwəˌdɔr
ed,ɛd
eddie,ˈɛdi
eden,ˈidən
edgar,ˈɛdgər
edge,ɛʤ
edges,ˈɛʤɪz
edinburgh,ˈɛdənbəroʊ
edit,ˈɛdət
edited,ˈɛdɪtɪd
editing,ˈɛdɪtɪŋ
edition,ɪˈdɪʃən
editions,ɪˈdɪʃənz
editor,ˈɛdɪtər
editorial,ˌɛdəˈtɔriəl
editorials,ˌɛdəˈtɔriəlz
editors,ˈɛdɪtərz
edmonton,ˈɛdməntən
eds,eds*
edt,edt*
educated,ˈɛʤəˌkeɪtɪd
education,ˌɛʤəˈkeɪʃən
educational,ˌɛʤəˈkeɪʃənəl
educators,ˈɛʤəˌkeɪtərz
edward,ˈɛdwərd
edwards,ˈɛdwərdz
ee,i
ef,ef*
effect,ˈifɛkt
effective,ˈifɛktɪv
effectively,ˈifɛktɪvli
effectiveness,ˈifɛktɪvnəs
effects,ˈifɛkts
efficiency,ɪˈfɪʃənsi
efficient,ɪˈfɪʃənt
efficiently,ɪˈfɪʃəntli
effort,ˈɛfərt
efforts,ˈɛfərts
eg,eg*
egg,ɛg
eggs,ɛgz
egypt,ˈiʤɪpt
egyptian,ɪˈʤɪpʃən
eh,ɛ
eight,eɪt
either,ˈiðər
ejaculation,iˌʤækjuˈleɪʃən
el,ɛl
elder,ˈɛldər
elderly,ˈɛldərli
elect,ɪˈlɛkt
elected,ɪˈlɛktɪd
election,ɪˈlɛkʃən
elections,ɪˈlɛkʃənz
electoral,ɪˈlɛktərəl
electric,ɪˈlɛktrɪk
electrical,ɪˈlɛktrɪkəl
electricity,ɪˌlɛkˈtrɪsəti
electro,ɪˈlɛktroʊ
electron,ˌɪˈlɛktrɑn
electronic,ˌɪˌlɛkˈtrɑnɪk
electronics,ˌɪˌlɛkˈtrɑnɪks
elegant,ˈɛləgənt
element,ˈɛləmənt
elementary,ˌɛləˈmɛnʧri
elements,ˈɛləmənts
elephant,ˈɛləfənt
elevation,ˌɛləˈveɪʃən
eleven,ˈilɛvən
eligibility,ˌɛlɪʤəˈbɪlɪti
eligible,ˈɛlɪʤəbəl
eliminate,ɪˈlɪməˌneɪt
elimination,ɪˌlɪməˈneɪʃən
elite,ɪˈlit
elizabeth,ɪˈlɪzəbɪθ
ellen,ˈɛlən
elliott,ˈɛliət
ellis,ˈɛlɪs
else,ɛls
elsewhere,ˈɛlsˌwɛr
elvis,ˈɛlvɪs
em,ɛm
emacs,emacs*
email,iˈmeɪl
emails,iˈmeɪlz
embassy,ˈɛmbəsi
embedded,ɛmˈbɛdɪd
emerald,ˈɛmərrəld
emergency,ˈimərʤənsi
emerging,ˈimərʤɪŋ
emily,ˈɛmɪli
eminem,eminem*
emirates,ˈɛmərˌeɪts
emission,ɪˈmɪʃən
emissions,ɪˈmɪʃənz
emma,ˈɛmə
emotional,ˈiˌmoʊʃənəl
emotions,ˈɪˌmoʊʃənz
emperor,ˈɛmpərər
emphasis,ˈɛmfəsɪs
empire,ˈɛmpaɪər
empirical,ˌɛmˈpɪrɪkəl
employ,ɪmˈplɔɪ
employed,ɪmˈplɔɪd
employee,ɪmˈplɔɪi
employees,ɪmˈplɔɪiz
employer,ɪmˈplɔɪər
employers,ɪmˈplɔɪərz
employment,ɪmˈplɔɪmənt
empty,ˈɛmti
en,ɛn
enable,ɪˈneɪbəl
enabled,ɪˈneɪbəld
enables,ɪˈneɪbəlz
enabling,ɪˈneɪbəlɪŋ
enb,enb*
enclosed,ɪnˈkloʊzd
enclosure,ɪnˈkloʊʒər
encoding,ɛnˈkoʊdɪŋ
encounter,ɪnˈkaʊnər
encountered,ɪnˈkaʊnərd
encourage,ɪnˈkərəʤ
encouraged,ɪnˈkərəʤd
encourages,ɪnˈkərəʤəz
encouraging,ɪnˈkərəʤɪŋ
encryption,ɛnˈkrɪpʃən
encyclopedia,ɪnˌsaɪkləˈpidiə
end,ɛnd
endangered,ɪnˈdeɪnʤərd
ended,ˈɛndɪd
endif,endif*
ending,ˈɛndɪŋ
endless,ˈɛndləs
endorsed,ɛnˈdɔrst
endorsement,ɛnˈdɔrsmənt
ends,ɛndz
enemies,ˈɛnəmiz
enemy,ˈɛnəmi
energy,ˈɛnərʤi
enforcement,ɛnˈfɔrsmənt
eng,ɛŋ
engage,ɪnˈgeɪʤ
engaged,ɪnˈgeɪʤd
engagement,ɛnˈgeɪʤmənt
engaging,ɪnˈgeɪʤɪŋ
engine,ˈɪnʤən
engineer,ˈɛnʤəˈnɪr
engineering,ˈɛnʤəˈnɪrɪŋ
engineers,ˈɛnʤəˈnɪrz
engines,ˈɛnʤənz
england,ˈɪŋglənd
english,ˈɪŋlɪʃ
enhance,ɛnˈhæns
enhanced,ɛnˈhænst
enhancement,ɛnˈhænsmənt
enhancements,ɛnˈhænsmənts
enhancing,ɛnˈhænsɪŋ
enjoy,ˌɛnˈʤɔɪ
enjoyed,ˌɛnˈʤɔɪd
enjoying,ˌɛnˈʤɔɪɪŋ
enlarge,ˌɛnˈlɑrʤ
enlargement,ˌɛnˈlɑrʤmənt
enormous,ɪˈnɔrmɪs
enough,ɪˈnəf
enquiries,enquiries*
enquiry,ɪnkˈwaɪˌri
enrolled,ɛnˈroʊld
enrollment,ɛnˈroʊlmənt
ensemble,ɑnˈsɑmbəl
ensure,ɪnˈʃʊr
ensures,ɪnˈʃʊrz
ensuring,ɪnˈʃʊrɪŋ
ent,ɛnt
enter,ˈɛnər
entered,ˈɛnərd
entering,ˈɛnərɪŋ
enterprise,ˈɛnərˌpraɪz
enterprises,ˈɛnərˌpraɪzɪz
enters,ˈɛnərz
entertaining,ˌɛnərˈteɪnɪŋ
entertainment,ˌɛnərˈteɪnmənt
entire,ɪnˈtaɪər
entirely,ɪnˈtaɪərli
entities,ˈɛntɪtiz
entitled,ɛnˈtaɪtəld
entity,ˈɛntɪti
entrance,ˈɛntrəns
entrepreneur,ˌɑntrəprəˈnʊr
entrepreneurs,ˌɑntrəprəˈnərz
entries,ˈɛntriz
entry,ˈɛntri
envelope,ˈɛnvəˌloʊp
environment,ɪnˈvaɪrənmənt
environmental,ɪnˌvaɪrənˈmɛnəl
environments,ɪnˈvaɪrənmənts
enzyme,ˈɛnˌzaɪm
eos,iɔs
ep,ep*
epa,epa*
epic,ˈɛpɪk
epinions,epinions*
epinionscom,epinionscom*
episode,ˈɛpɪˌsoʊd
episodes,ˈɛpɪˌsoʊdz
epson,ˈɛpsən
eq,eq*
equal,ˈikwəl
equality,ɪkˈwɑləti
equally,ˈikwəli
equation,ɪkˈweɪʒən
equations,ɪkˈweɪʒənz
equilibrium,ˌikwəˈlɪbriəm
equipment,ɪkˈwɪpmənt
equipped,ɪkˈwɪpt
equity,ˈɛkwəti
equivalent,ɪkˈwɪvələnt
er,ər
era,ˈɪrə
eric,ˈɛrɪk
ericsson,ˈɛrɪksən
erik,ˈɛrɪk
erotic,ɪˈrɑtɪk
erotica,ɪˈrɑtɪkə
erp,erp*
error,ˈɛrər
errors,ˈɛrərz
es,ɛs
escape,ɪˈskeɪp
escort,ˈɛskɔrt
escorts,ˈɛskɔrts
especially,əˈspɛʃəli
espn,espn*
essay,ˈɛˌseɪ
essays,ˈɛˌseɪz
essence,ˈɛsəns
essential,ɛˈsɛnʃəl
essentially,ɛˈsɛnʃəli
essentials,ɛˈsɛnʃəlz
essex,ˈɛsɪks
est,ɛst
establish,ɪˈstæblɪʃ
established,ɪˈstæblɪʃt
establishing,ɪˈstæblɪʃɪŋ
establishment,ɪˈstæblɪʃmənt
estate,ɛˈsteɪt
estates,ɛˈsteɪts
estimate,ˈɛstəˌmeɪt
estimated,ˈɛstəˌmeɪtɪd
estimates,ˈɛstəˌmeɪts
estimation,ˌɛstəˈmeɪʃən
estonia,ɛˈstoʊniə
et,ɛt
etc,ˌɛtˈsɛtərə
eternal,ɪˈtərnəl
ethernet,ˈiθərˌnɛt
ethical,ˈɛθɪkəl
ethics,ˈɛθɪks
ethiopia,ˌiθiˈoʊpiə
ethnic,ˈɛθnɪk
eu,eu*
eugene,ˈjuʤin
eur,eur*
euro,ˈjʊrə
europe,ˈjʊrəp
european,ˌjʊrəˈpiən
euros,ˈjuˌroʊz
ev,ɛv
eva,ˈivə
eval,eval*
evaluate,ɪˈvæljuˌeɪt
evaluated,ɪˈvæljuˌeɪtəd
evaluating,ɪˈvæljuˌeɪtɪŋ
evaluation,ɪˌvæljuˈeɪʃən
evaluations,ɪˌvæljuˈeɪʃənz
evanescence,ˌɛvəˈnɛsəns
evans,ˈɛvənz
eve,iv
even,ˈivɪn
evening,ˈivnɪŋ
event,ɪˈvɛnt
events,ɪˈvɛnts
eventually,ɪˈvɛnʧəwəli
ever,ˈɛvər
every,ˈɛvəri
everybody,ˈɛvriˌbɑdi
everyday,ˈɛvriˈdeɪ
everyone,ˈɛvriˌwən
everything,ˈɛvriˌθɪŋ
everywhere,ˈɛvriˌwɛr
evidence,ˈɛvədəns
evident,ˈɛvədənt
evil,ˈivəl
evolution,ˌɛvəˈluʃən
ex,ɛks
exact,ɪgˈzækt
exactly,ɪgˈzæktli
exam,ɪgˈzæm
examination,ɪgˌzæməˈneɪʃən
examinations,ɪgˌzæməˈneɪʃənz
examine,ɪgˈzæmɪn
examined,ɪgˈzæmənd
examines,ɪgˈzæmənz
examining,ɪgˈzæmɪnɪŋ
example,ɪgˈzæmpəl
examples,ɪgˈzæmpəlz
exams,ɪgˈzæmz
exceed,ɪkˈsid
excel,ɪkˈsɛl
excellence,ˈɛksələns
excellent,ˈɛksələnt
except,ɪkˈsɛpt
exception,ɪkˈsɛpʃən
exceptional,ɪkˈsɛpʃənəl
exceptions,ɪkˈsɛpʃənz
excerpt,ˈɛksərpt
excess,ˈɛkˌsɛs
excessive,ɪkˈsɛsɪv
exchange,ɪksˈʧeɪnʤ
exchanges,ɪksˈʧeɪnʤɪz
excited,ɪkˈsaɪtɪd
excitement,ɪkˈsaɪtmənt
exciting,ɪkˈsaɪtɪŋ
exclude,ɪkˈsklud
excluded,ɪkˈskludɪd
excluding,ɪkˈskludɪŋ
exclusion,ɪkˈskluʒən
exclusive,ɪkˈsklusɪv
exclusively,ɪkˈsklusɪvli
excuse,ɪkˈskjuz
exec,ˌɛgˈzɛk
execute,ˈɛksəˌkjut
executed,ˈɛksəˌkjutɪd
execution,ˌɛksəˈkjuʃən
executive,ɪgˈzɛkjətɪv
executives,ɪgˈzɛkjətɪvz
exempt,ɪgˈzɛmpt
exemption,ɪgˈzɛmpʃən
exercise,ˈɛksərˌsaɪz
exercises,ˈɛksərˌsaɪzɪz
exhaust,ɪgˈzɔst
exhibit,ɪgˈzɪbɪt
exhibition,ˌɛksəˈbɪʃən
exhibitions,ˌɛksəˈbɪʃənz
exhibits,ɪgˈzɪbəts
exist,ɪgˈzɪst
existed,ɪgˈzɪstəd
existence,ɪgˈzɪstəns
existing,ɪgˈzɪstɪŋ
exists,ɪgˈzɪsts
exit,ˈɛksət
exotic,ɪgˈzɑtɪk
exp,exp*
expand,ɪkˈspænd
expanded,ɪkˈspændɪd
expanding,ɪkˈspændɪŋ
expansion,ɪkˈspænʧən
expansys,expansys*
expect,ɪkˈspɛkt
expectations,ˌɛkspɛkˈteɪʃənz
expected,ɪkˈspɛktɪd
expects,ɪkˈspɛkts
expedia,ɛkˈspidiə
expenditure,ɪkˈspɛndɪʧər
expenditures,ɪkˈspɛndɪʧərz
expense,ɪkˈspɛns
expenses,ɪkˈspɛnsɪz
expensive,ɪkˈspɛnsɪv
experience,ɪkˈspɪriəns
experienced,ɪkˈspɪriənst
experiences,ɪkˈspɪriənsɪz
experiencing,ɪkˈspɪriənsɪŋ
experiment,ɪkˈspɛrəmənt
experimental,ɪkˌspɛrɪˈmɛntəl
experiments,ɪkˈspɛrəmənts
expert,ˈɛkspərt
expertise,ˌɛkspərˈtiz
experts,ˈɛkspərts
expiration,ˌɛkspərˈeɪʃən
expired,ɪkˈspaɪrd
expires,ɪkˈspaɪərz
explain,ɪkˈspleɪn
explained,ɪkˈspleɪnd
explaining,ɪkˈspleɪnɪŋ
explains,ɪkˈspleɪnz
explanation,ˌɛkspləˈneɪʃən
explicit,ɪkˈsplɪsət
explicitly,ɪkˈsplɪsətli
exploration,ˌɛksplərˈeɪʃən
explore,ɪkˈsplɔr
explorer,ɪkˈsplɔrər
exploring,ɪkˈsplɔrɪŋ
explosion,ɪkˈsploʊʒən
expo,ˈɛkspoʊ
export,ˈɛkspɔrt
exports,ˈɛkspɔrts
exposed,ɪkˈspoʊzd
exposure,ɪkˈspoʊʒər
express,ɪkˈsprɛs
expressed,ɪkˈsprɛst
expression,ɪkˈsprɛʃən
expressions,ɪkˈsprɛʃənz
ext,ext*
extend,ɪkˈstɛnd
extended,ɪkˈstɛndɪd
extending,ɪkˈstɛndɪŋ
extends,ɪkˈstɛndz
extension,ɪkˈstɛnʃən
extensions,ɪkˈstɛnʃənz
extensive,ɪkˈstɛnsɪv
extent,ɪkˈstɛnt
exterior,ɪkˈstɪriər
external,ɪkˈstərnəl
